22.0,13.0,1000.0,0.5,34.0,65.1,9.0
32.0,40.0,1000.0,0.5,54.0,79.2,25.0
30.0,40.0,1000.0,0.5,54.0,76.8,23.0
30.0,60.0,1000.0,0.5,48.0,79.8,26.0
28.0,15.0,1000.0,0.5,35.0,71.0,16.0
28.0,15.0,1000.0,0.5,35.0,71.0,16.0
28.0,15.0,1000.0,0.5,35.0,71.0,16.0
29.0,22.0,1000.0,0.5,35.0,71.7,17.0
28.0,20.0,1000.0,0.5,30.0,71.7,17.0
30.0,20.0,1000.0,0.5,35.0,73.7,19.0
32.0,20.0,1000.0,0.5,35.0,75.7,21.0
30.0,20.0,1000.0,0.5,35.0,73.7,19.0
30.0,20.0,1000.0,0.5,38.0,73.7,19.0
32.0,29.0,1000.0,0.5,30.0,77.3,22.0
